subject,timebin,freezing,obsdem
1-1,1,0.45,obs
1-1,2,0.56,obs
1-1,3,3.59,obs
1-1,4,2.57,obs
1-1,5,3.13,obs
1-1,6,7.81,obs
1-1,7,8.16,obs
1-1,8,5.8,obs
1-1,9,4.7,obs
1-2,1,0.0,obs
1-2,2,0.56,obs
1-2,3,0.0,obs
1-2,4,0.0,obs
1-2,5,1.45,obs
1-2,6,6.03,obs
1-2,7,1.56,obs
1-2,8,6.14,obs
1-2,9,1.12,obs
1-3,1,0.0,obs
1-3,2,1.79,obs
1-3,3,0.67,obs
1-3,4,0.0,obs
1-3,5,0.0,obs
1-3,6,2.01,obs
1-3,7,1.56,obs
1-3,8,0.0,obs
1-3,9,4.25,obs
1-4,1,0.0,obs
1-4,2,0.67,obs
1-4,3,0.0,obs
1-4,4,1.12,obs
1-4,5,1.56,obs
1-4,6,14.97,obs
1-4,7,7.93,obs
1-4,8,7.49,obs
1-4,9,19.55,obs
2-2,1,0.0,obs
2-2,2,0.0,obs
2-2,3,0.89,obs
2-2,4,1.12,obs
2-2,5,0.0,obs
2-2,6,2.57,obs
2-2,7,3.59,obs
2-2,8,3.24,obs
2-2,9,6.82,obs
2-3,1,0.0,obs
2-3,2,0.0,obs
2-3,3,1.9,obs
2-3,4,1.79,obs
2-3,5,1.01,obs
2-3,6,7.03,obs
2-3,7,2.91,obs
2-3,8,5.59,obs
2-3,9,11.86,obs
3-1,1,0.0,obs
3-1,2,1.01,obs
3-1,3,0.47,obs
3-1,4,0.47,obs
3-1,5,0.47,obs
3-1,6,0.47,obs
3-1,7,0.47,obs
3-1,8,0.47,obs
3-1,9,0.47,obs
3-1_,1,0.0,obs
3-1_,2,0.89,obs
3-1_,3,0.0,obs
3-1_,4,1.12,obs
3-1_,5,1.23,obs
3-1_,6,6.82,obs
3-1_,7,3.13,obs
3-1_,8,7.49,obs
3-1_,9,1.68,obs
3-2,1,1.9,obs
3-2,2,2.91,obs
3-2,3,2.37,obs
3-2,4,2.37,obs
3-2,5,2.37,obs
3-2,6,2.37,obs
3-2,7,2.37,obs
3-2,8,2.37,obs
3-2,9,2.37,obs
3-2_,1,0.45,obs
3-2_,2,1.9,obs
3-2_,3,2.23,obs
3-2_,4,1.79,obs
3-2_,5,1.0,obs
3-2_,6,15.42,obs
3-2_,7,39.66,obs
3-2_,8,39.6,obs
3-2_,9,61.74,obs
3-3,1,0.0,obs
3-3,2,4.36,obs
3-3,3,0.45,obs
3-3,4,5.81,obs
3-3,5,3.01,obs
3-3,6,8.6,obs
3-3,7,6.14,obs
3-3,8,17.32,obs
3-3,9,16.09,obs
4-1,1,0.0,obs
4-1,2,0.89,obs
4-1,3,1.79,obs
4-1,4,1.34,obs
4-1,5,1.79,obs
4-1,6,7.49,obs
4-1,7,35.6,obs
4-1,8,24.92,obs
4-1,9,24.47,obs
4-2,1,0.0,obs
4-2,2,1.23,obs
4-2,3,0.0,obs
4-2,4,0.45,obs
4-2,5,1.56,obs
4-2,6,2.79,obs
4-2,7,3.36,obs
4-2,8,3.12,obs
4-2,9,2.57,obs
4-3,1,0.0,obs
4-3,2,0.67,obs
4-3,3,0.0,obs
4-3,4,2.57,obs
4-3,5,3.58,obs
4-3,6,2.46,obs
4-3,7,0.78,obs
4-3,8,3.68,obs
4-3,9,1.45,obs
5-1,1,0.0,obs
5-1,2,4.58,obs
5-1,3,2.9,obs
5-1,4,4.14,obs
5-1,5,2.79,obs
5-1,6,4.24,obs
5-1,7,0.89,obs
5-1,8,1.12,obs
5-1,9,3.47,obs
5-2,1,0.0,obs
5-2,2,10.27,obs
5-2,3,0.0,obs
5-2,4,4.26,obs
5-2,5,3.46,obs
5-2,6,1.67,obs
5-2,7,3.8,obs
5-2,8,12.28,obs
5-2,9,7.83,obs
5-3,1,0.0,obs
5-3,2,2.79,obs
5-3,3,0.0,obs
5-3,4,5.47,obs
5-3,5,6.26,obs
5-3,6,4.8,obs
5-3,7,1.79,obs
5-3,8,4.58,obs
5-3,9,11.65,obs
6-1,1,1.01,obs
6-1,2,7.03,obs
6-1,3,4.14,obs
6-1,4,1.23,obs
6-1,5,7.71,obs
6-1,6,6.14,obs
6-1,7,10.75,obs
6-1,8,4.35,obs
6-1,9,7.05,obs
6-2,1,0.0,obs
6-2,2,2.79,obs
6-2,3,0.0,obs
6-2,4,1.12,obs
6-2,5,1.79,obs
6-2,6,3.91,obs
6-2,7,4.69,obs
6-2,8,6.7,obs
6-2,9,10.96,obs
6-3,1,0.0,obs
6-3,2,1.9,obs
6-3,3,0.0,obs
6-3,4,0.89,obs
6-3,5,0.0,obs
6-3,6,14.06,obs
6-3,7,14.64,obs
6-3,8,14.4,obs
6-3,9,14.99,obs
dem1,1,2.9,dem
dem1,2,2.46,dem
dem1,3,0.78,dem
dem1,4,8.04,dem
dem1,5,1.9,dem
dem1,6,29.35,dem
dem1,7,44.69,dem
dem1,8,62.72,dem
dem1,9,65.29,dem
dem10,1,12.4,dem
dem10,2,13.07,dem
dem10,3,7.48,dem
dem10,4,6.82,dem
dem10,5,22.32,dem
dem10,6,44.25,dem
dem10,7,58.26,dem
dem10,8,63.35,dem
dem10,9,63.24,dem
dem11,1,5.25,dem
dem11,2,12.61,dem
dem11,3,26.59,dem
dem11,4,12.95,dem
dem11,5,5.81,dem
dem11,6,20.76,dem
dem11,7,49.22,dem
dem11,8,52.79,dem
dem11,9,64.99,dem
dem12,1,1.12,dem
dem12,2,2.12,dem
dem12,3,1.34,dem
dem12,4,2.01,dem
dem12,5,2.91,dem
dem12,6,20.31,dem
dem12,7,46.31,dem
dem12,8,52.34,dem
dem12,9,54.25,dem
dem13,1,2.79,dem
dem13,2,3.91,dem
dem13,3,1.45,dem
dem13,4,7.39,dem
dem13,5,3.02,dem
dem13,6,33.93,dem
dem13,7,52.07,dem
dem13,8,68.08,dem
dem13,9,67.67,dem
dem14,1,3.46,dem
dem14,2,3.91,dem
dem14,3,4.69,dem
dem14,4,1.01,dem
dem14,5,3.13,dem
dem14,6,39.17,dem
dem14,7,44.69,dem
dem14,8,54.58,dem
dem14,9,59.17,dem
dem15,1,7.6,dem
dem15,2,8.26,dem
dem15,3,9.51,dem
dem15,4,13.06,dem
dem15,5,3.46,dem
dem15,6,42.41,dem
dem15,7,52.18,dem
dem15,8,58.37,dem
dem15,9,61.37,dem
dem16,1,2.79,dem
dem16,2,5.13,dem
dem16,3,5.59,dem
dem16,4,5.69,dem
dem16,5,6.26,dem
dem16,6,46.76,dem
dem16,7,60.36,dem
dem16,8,59.6,dem
dem16,9,66.97,dem
dem17,1,5.47,dem
dem17,2,10.49,dem
dem17,3,3.46,dem
dem17,4,10.61,dem
dem17,5,15.08,dem
dem17,6,30.69,dem
dem17,7,51.96,dem
dem17,8,62.5,dem
dem17,9,67.45,dem
dem18,1,0.0,dem
dem18,2,13.84,dem
dem18,3,12.07,dem
dem18,4,17.88,dem
dem18,5,7.93,dem
dem18,6,21.32,dem
dem18,7,41.9,dem
dem18,8,60.6,dem
dem18,9,60.85,dem
dem2,1,0.0,dem
dem2,2,0.78,dem
dem2,3,3.59,dem
dem2,4,0.78,dem
dem2,5,4.81,dem
dem2,6,22.88,dem
dem2,7,45.25,dem
dem2,8,53.91,dem
dem2,9,52.97,dem
dem3,1,0.89,dem
dem3,2,1.01,dem
dem3,3,1.56,dem
dem3,4,7.6,dem
dem3,5,2.12,dem
dem3,6,45.7,dem
dem3,7,65.25,dem
dem3,8,67.6,dem
dem3,9,70.28,dem
dem4,1,1.0,dem
dem4,2,0.0,dem
dem4,3,3.46,dem
dem4,4,3.46,dem
dem4,5,5.69,dem
dem4,6,34.75,dem
dem4,7,41.9,dem
dem4,8,49.39,dem
dem4,9,55.64,dem
dem5,1,2.35,dem
dem5,2,2.9,dem
dem5,3,0.45,dem
dem5,4,2.01,dem
dem5,5,0.45,dem
dem5,6,27.34,dem
dem5,7,59.08,dem
dem5,8,48.88,dem
dem5,9,60.18,dem
dem6,1,1.01,dem
dem6,2,1.45,dem
dem6,3,10.39,dem
dem6,4,2.01,dem
dem6,5,6.03,dem
dem6,6,11.72,dem
dem6,7,42.71,dem
dem6,8,52.24,dem
dem6,9,51.79,dem
dem7,1,6.7,dem
dem7,2,0.89,dem
dem7,3,3.97,dem
dem7,4,3.97,dem
dem7,5,3.97,dem
dem7,6,3.97,dem
dem7,7,3.97,dem
dem7,8,3.97,dem
dem7,9,3.97,dem
dem7_,1,6.04,dem
dem7_,2,4.58,dem
dem7_,3,4.13,dem
dem7_,4,8.38,dem
dem7_,5,9.71,dem
dem7_,6,22.91,dem
dem7_,7,47.93,dem
dem7_,8,53.91,dem
dem7_,9,64.54,dem
dem8,1,1.79,dem
dem8,2,2.78,dem
dem8,3,2.31,dem
dem8,4,2.31,dem
dem8,5,2.31,dem
dem8,6,2.31,dem
dem8,7,2.31,dem
dem8,8,2.31,dem
dem8,9,2.31,dem
dem8_,1,9.51,dem
dem8_,2,13.17,dem
dem8_,3,0.56,dem
dem8_,4,14.53,dem
dem8_,5,9.49,dem
dem8_,6,32.63,dem
dem8_,7,61.23,dem
dem8_,8,60.85,dem
dem8_,9,55.93,dem
dem9,1,0.0,dem
dem9,2,0.56,dem
dem9,3,1.67,dem
dem9,4,1.45,dem
dem9,5,1.9,dem
dem9,6,31.62,dem
dem9,7,63.73,dem
dem9,8,60.34,dem
dem9,9,67.71,dem
